ID,experiment,shelf,tank,tankID,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,notes
17002,exposure,2,2,5,400,Rowley1-RR,3.099,2.162,Rowley,20170427,Y,20170509,5,1,20170509,NA,13:30,NA,0,Y,NA,Y,Y,Y,Y,6.25,1.31,1.12,4.94,-0.19,6.67,56.56,49.89,
17009,exposure,6,3,18,2800,Ipswich,3.838,2.181,Ipswich,20170427,Y,20170509,18,1,20170509,NA,15:32,NA,0,N,NA,Y,Y,Y,Y,5.96,1.27,0.88,4.69,-0.39,11.4,75.25,63.85,
17014,exposure,5,2,14,900,Rowley1-RR,4.191,2.362,Rowley,20170427,Y,20170509,14,1,20170509,NA,14:04,NA,0,Y,NA,Y,Y,Y,Y,5.77,1.29,0.93,4.48,-0.36,6.63,72.17,65.54,
17016,exposure,5,1,13,900,Rowley2-Sawyers,4.86,2.157,Rowley2,20170427,Y,20170509,13,1,20170509,NA,11:40,NA,0,N,NA,Y,Y,Y,Y,7.64,1.28,1.06,6.36,-0.22,6.65,78.83,72.18,
17018,exposure,1,3,3,400,Ipswich,3.078,2.058,Ipswich,20170427,Y,20170509,3,1,20170509,NA,12:30,NA,0,N,NA,Y,Y,Y,Y,3.36,1.29,0.54,2.07,-0.75,11.38,39.72,28.34,
17035,exposure,5,3,15,900,Ipswich,3.569,1.962,Ipswich,20170427,Y,20170509,15,1,20170509,NA,15:20,NA,0,N,NA,Y,Y,Y,Y,4.59,1.3,0.54,3.29,-0.76,11.38,48.94,37.56,
17047,exposure,6,1,16,2800,Rowley2-Sawyers,4.089,1.414,Rowley2,20170427,Y,20170509,16,1,20170509,NA,11:55,NA,0,Y,NA,Y,Y,Y,Y,4.57,1.29,0.81,3.28,-0.48,6.62,36.89,30.27,
17060,exposure,1,2,2,400,Rowley1-RR,3.164,2.044,Rowley,20170427,Y,20170509,2,1,20170509,NA,13:04,NA,0,N,NA,Y,Y,Y,Y,3.2,1.28,0.5,1.92,-0.78,6.64,55.22,48.58,
17063,exposure,4,3,12,2800,Ipswich,3.654,2.2,Ipswich,20170427,Y,20170509,12,1,20170509,NA,15:06,NA,0,N,NA,Y,Y,Y,Y,8.34,1.31,1.21,7.03,-0.1,11.31,60.43,49.12,
17067,exposure,2,1,4,400,Rowley2-Sawyers,4.36,1.74,Rowley2,20170427,Y,20170509,4,1,20170509,NA,10:25,NA,0,Y,NA,Y,N,Y,Y,4.21,1.29,0.75,2.92,-0.54,6.63,36.39,29.76,
17092,exposure,3,1,7,900,Rowley2-Sawyers,5.489,2.413,Rowley2,20170427,Y,20170509,7,1,20170509,NA,10:45,NA,0,N,NA,Y,Y,Y,Y,11.52,1.31,1.83,10.21,0.52,6.67,51.59,44.92,Shelf 3 heaters were disconnected; start temp 56 9am
17103,exposure,3,2,8,900,Rowley1-RR,3.725,1.73,Rowley,20170427,Y,20170509,8,1,20170509,NA,13:42,NA,0,N,NA,Y,Y,Y,Y,4.6,1.29,0.98,3.31,-0.31,6.69,40.25,33.56,
17112,exposure,1,1,1,400,Rowley2-Sawyers,5.379,2.046,Rowley2,20170427,Y,20170509,1,1,20170509,NA,9:44,NA,0,Y,NA,Y,Y,Y,Y,6.36,1.28,1.37,5.08,0.09,6.82,75.83,69.01,"Extrapallial fluid may be contaminated, chamber flooded before measurement"
17149,exposure,4,1,10,2800,Rowley2-Sawyers,2.631,1.697,Rowley2,20170427,Y,20170509,10,1,20170509,NA,11:30,NA,0,N,NA,Y,Y,Y,Y,2.21,1.29,0.41,0.92,-0.88,6.63,26.07,19.44,Not sure drilled through. P1 to Louise/no P2. M1/M2 mantle mangled a little
17185,exposure,2,3,6,400,Ipswich,3.713,1.979,Ipswich,20170427,Y,20170509,6,1,20170509,NA,14:38,NA,0,N,NA,Y,Y,Y,Y,3.69,1.28,0.43,2.41,-0.85,11.34,53.18,41.84,
17192,exposure,6,2,17,2800,Rowley1-RR,3.598,2.575,Rowley,20170427,Y,20170509,17,1,20170509,NA,14:18,NA,0,Y,NA,Y,Y,Y,Y,4.98,1.29,0.75,3.69,-0.54,6.78,52.64,45.86,
17209,exposure,3,3,9,900,Ipswich,3.561,2.063,Ipswich,20170501,Y,20170509,9,1,20170509,NA,14:58,NA,0,N,NA,Y,Y,Y,Y,7.79,1.27,1.4,6.52,0.13,11.42,44.55,33.13,
17221,exposure,4,2,11,2800,Rowley1-RR,4.392,2.2,Rowley,20170501,Y,20170509,11,1,20170509,NA,13:51,NA,0,N,NA,Y,Y,Y,Y,7.62,1.29,1.23,6.33,-0.06,6.65,62.73,56.08,
17003,exposure,4,2,11,2800,Ipswich,3.094,1.96,Ipswich,20170427,Y,20170517,29,2,20170517,10:47,11:00,11:05,0,N,NA,Y,Y,Y,Y,4.01,1.29,1.62,2.72,0.33,11.41,52.3,40.89,Maybe dead/dying
17006,exposure,3,2,8,900,Ipswich,2.707,1.852,Ipswich,20170427,Y,20170517,26,2,20170517,13:57,14:07,14:14,0,Y,NA,Y,Y,Y,Y,5.44,1.27,1.75,4.17,0.48,11.31,51.87,40.56,Hole punched in tissue by syringe
17017,exposure,1,1,1,400,Rowley1-RR,3.216,1.897,Rowley,20170427,Y,20170517,19,2,20170517,10:39,10:49,10:55,0,Y,NA,Y,Y,Y,Y,5.41,1.3,1.94,4.11,0.64,11.39,50.36,38.97,
17025,exposure,4,1,10,2800,Rowley1-RR,3.199,2.193,Rowley,20170427,Y,20170517,28,2,20170517,14:52,15:07,15:10,0,N,NA,Y,Y,Y,N,7.56,1.31,2.23,6.25,0.92,11.4,49.96,38.56,
17034,exposure,5,1,13,900,Rowley1-RR,3.355,1.933,Rowley,20170427,Y,20170517,31,2,20170517,14:06,14:20,14:25,0,Y,NA,Y,Y,Y,N,5.28,1.3,1.98,3.98,0.68,11.38,53.04,41.66,
17037,exposure,1,2,2,400,Ipswich,3.809,2.541,Ipswich,20170427,Y,20170517,20,2,20170517,14:42,14:54,14:59,0,Y,NA,Y,Y,Y,Y,9.4,1.27,2.61,8.13,1.34,11.34,92.83,81.49,
17055,exposure,1,3,3,400,Rowley2-Sawyers,5.059,2.157,Rowley2,20170427,Y,20170517,21,2,20170517,11:34,11:49,11:56,0,Y,NA,Y,Y,Y,Y,9.44,1.28,2.34,8.16,1.06,11.41,102.29,90.88,
17059,exposure,2,1,4,400,Rowley1-RR,4.677,2.263,Rowley,20170427,Y,20170517,22,2,20170517,13:35,13:47,13:52,0,Y,NA,Y,Y,Y,Y,5.8,1.28,1.86,4.52,0.58,11.41,66.93,55.52,"Damaged, possibly dying, deteriorating mantle"
17076,exposure,6,1,16,2800,Rowley1-RR,3.584,2.369,Rowley,20170427,Y,20170517,34,2,20170517,14:17,14:28,14:34,2,Y,Y,Y,Y,Y,Y,9.68,1.29,2.67,8.39,1.38,11.3,73.39,62.09,
17083,exposure,5,2,14,900,Ipswich,3.301,2.329,Ipswich,20170427,Y,20170517,32,2,20170517,14:33,14:45,14:50,1,Y,NA,Y,Y,Y,Y,8.59,1.31,2.23,7.28,0.92,11.45,89.37,77.92,Pallial fluid probably contaminated with gut fluid
17084,exposure,4,3,12,2800,Rowley2-Sawyers,4.456,2.248,Rowley2,20170427,Y,20170517,30,2,20170517,11:23,11:37,11:43,0,Y,NA,Y,Y,Y,Y,6.36,1.29,2.06,5.07,0.77,11.46,71.17,59.71,
17107,exposure,6,3,18,2800,Rowley2-Sawyers,4.822,2.066,Rowley2,20170427,Y,20170517,36,2,20170517,11:44,11:58,12:07,2,Y,NA,Y,Y,Y,Y,11.29,1.29,2.54,10,1.25,11.35,70.14,58.79,
17121,exposure,3,3,9,900,Rowley2-Sawyers,5.483,1.781,Rowley2,20170427,Y,20170517,27,2,20170517,12:08,12:19,12:25,0,Y,NA,Y,Y,Y,Y,9.03,1.29,2.12,7.74,0.83,NA,NA,NA,
17124,exposure,5,3,15,900,Rowley2-Sawyers,4.348,1.849,Rowley2,20170427,Y,20170517,33,2,20170517,11:55,12:09,12:15,0,Y,NA,Y,Y,Y,Y,8.19,1.29,2.43,6.9,1.14,11.59,59.38,47.79,
17134,exposure,2,2,5,400,Ipswich,3.172,2.012,Ipswich,20170427,Y,20170517,23,2,20170517,14:25,14:38,14:42,0,N,NA,Y,Y,Y,Y,5.58,1.29,1.88,4.29,0.59,11.32,47.81,36.49,Stabbed while shucking
17160,exposure,6,2,17,2800,Ipswich,3.284,2.278,Ipswich,20170427,Y,20170517,35,2,20170517,13:48,13:59,14:04,0,N,NA,Y,Y,Y,Y,7.29,1.3,2.15,5.99,0.85,11.54,48.93,37.39,
17171,exposure,3,1,7,900,Rowley1-RR,3.469,1.927,Rowley,20170427,Y,20170517,25,2,20170517,11:09,11:24,11:30,0,Y,NA,Y,Y,Y,N,5.72,1.29,2.08,4.43,0.79,11.42,45.56,34.14,
17202,exposure,2,3,6,400,Rowley2-Sawyers,2.322,1.578,Rowley2,20170501,Y,20170517,24,2,20170517,10:57,11:11,11:18,0,N,NA,Y,Y,Y,N,3.28,1.28,1.69,2,0.41,11.42,25.81,14.39,
17010,exposure,5,2,14,900,Rowley2-Sawyers,3.31,1.992,Rowley2,20170427,Y,20170602,50,3,20170602,14:28,14:38,14:42,0,N,NA,Y,Y,Y,N,6.1,1.3,2.09,4.8,0.79,11.48,49.11,37.63,
17024,exposure,1,2,2,400,Rowley2-Sawyers,3.052,1.726,Rowley2,20170427,Y,20170602,38,3,20170602,14:42,14:44,14:48,0,N,NA,Y,Y,Y,Y,5.29,1.3,1.83,3.99,0.53,11.42,41.48,30.06,
17046,exposure,3,1,7,900,Ipswich,4.732,2.08,Ipswich,20170427,Y,20170602,43,3,20170602,11:44,11:51,11:56,0,N,NA,Y,Y,Y,Y,8.04,1.31,2.18,6.73,0.87,11.53,84.87,73.34,
17056,exposure,6,3,18,2800,Rowley1-RR,3.172,2.095,Rowley,20170427,Y,20170602,54,3,20170602,11:26,11:33,11:38,0,N,NA,Y,Y,Y,Y,7.87,1.29,2.35,6.58,1.06,11.39,56.52,45.13,
17064,exposure,3,2,8,900,Rowley2-Sawyers,6.031,2.322,Rowley2,20170427,Y,20170602,44,3,20170602,14:08,14:17,14:23,0,Y,NA,Y,Y,Y,Y,11,1.3,2.79,9.7,1.49,11.71,110.63,98.92,
17077,exposure,1,1,1,400,Ipswich,3.711,1.845,Ipswich,20170427,Y,20170602,37,3,20170602,10:37,10:42,10:52,0,N,NA,Y,Y,Y,Y,7.97,1.28,2.08,6.69,0.8,11.49,49.31,37.82,
17078,exposure,4,2,11,2800,Rowley2-Sawyers,5.517,2.425,Rowley2,20170427,Y,20170602,47,3,20170602,11:07,11:18,11:24,0,Y,NA,Y,Y,Y,Y,10.19,1.29,2.56,8.9,1.27,11.62,126.13,114.51,
17086,exposure,5,1,13,900,Ipswich,3.55,2.197,Ipswich,20170427,Y,20170602,49,3,20170602,11:18,11:26,11:31,0,N,NA,Y,Y,Y,Y,9.16,1.29,2.21,7.87,0.92,11.62,64.75,53.13,
17096,exposure,4,3,12,2800,Rowley1-RR,3.772,2.036,Rowley,20170427,Y,20170602,48,3,20170602,13:52,13:58,14:04,0,Y,NA,Y,Y,Y,Y,7.7,1.28,2.48,6.42,1.2,11.48,53.31,41.83,
17097,exposure,6,1,16,2800,Ipswich,3.765,2.13,Ipswich,20170427,Y,20170602,52,3,20170602,14:56,15:03,15:08,0,Y,NA,Y,Y,Y,Y,9.83,1.29,2.46,8.54,1.17,11.5,68.46,56.96,
17109,exposure,2,2,5,400,Rowley2-Sawyers,3.836,2.536,Rowley2,20170427,Y,20170602,41,3,20170602,10:49,10:55,11:01,0,N,NA,Y,Y,Y,Y,8.57,1.3,2.49,7.27,1.19,11.61,98.13,86.52,Stabbed while shucking
17127,exposure,3,3,9,900,Rowley1-RR,3.769,2.131,Rowley,20170427,Y,20170602,45,3,20170602,10:53,11:02,11:08,0,N,NA,Y,Y,Y,Y,8.2,1.28,2.12,6.92,0.84,11.54,79.45,67.91,Sickly looking
17150,exposure,2,3,6,400,Rowley1-RR,4.1,2.251,Rowley,20170427,Y,20170602,42,3,20170602,14:47,14:53,14:59,0,Y,NA,Y,Y,Y,N,8.94,1.29,2.33,7.65,1.04,11.6,92.7,81.1,Fell to ground while open
17165,exposure,1,3,3,400,Rowley1-RR,2.66,1.859,Rowley,20170427,Y,20170602,39,3,20170602,11:33,11:40,11:49,0,Y,NA,Y,Y,Y,Y,4.34,1.29,1.93,3.05,0.64,11.5,38.82,27.32,"Stabbed while shucking, maybe also by syringe"
17183,exposure,5,3,15,900,Rowley1-RR,3.561,1.759,Rowley,20170427,Y,20170602,51,3,20170602,14:19,14:25,14:31,0,N,NA,Y,Y,Y,Y,4.83,1.3,1.69,3.53,0.39,11.37,47.72,36.35,
17191,exposure,2,1,4,400,Ipswich,2.792,1.595,Ipswich,20170501,Y,20170602,40,3,20170602,13:42,13:50,13:56,0,N,NA,Y,Y,Y,Y,3.56,1.3,1.53,2.26,0.23,11.51,31.69,20.18,Sickly looking
17197,exposure,4,1,10,2800,Ipswich,3.404,1.727,Ipswich,20170501,Y,20170602,46,3,20170602,11:51,11:59,12:05,0,Y,NA,Y,Y,Y,Y,10.74,1.28,2.43,9.46,1.15,11.51,50.42,38.91,
17205,exposure,6,2,17,2800,Rowley2-Sawyers,3.001,2.015,Rowley2,20170501,Y,20170602,53,3,20170602,14:01,14:06,14:11,0,N,NA,Y,Y,Y,Y,4.8,1.29,1.8,3.51,0.51,11.42,32.87,21.45,
17011,exposure,5,2,14,900,Rowley1-RR,7.55,2.358,Rowley,20170427,Y,20170605,66,4,20170605,14:22,14:30,14:35,0,N,NA,Y,Y,Y,Y,11.59,1.29,2.31,10.3,1.02,11.55,133.45,121.9,Yellow P2
17020,exposure,3,3,9,900,Ipswich,3.755,2.099,Ipswich,20170427,Y,20170605,62,4,20170605,14:38,14:43,14:48,0,Y,NA,Y,Y,Y,Y,8.79,1.29,2.19,7.5,0.9,11.51,69.8,58.29,
17023,exposure,4,2,11,2800,Ipswich,3.696,2.131,Ipswich,20170427,Y,20170605,72,4,20170605,13:15,13:21,13:25,0,N,NA,Y,Y,Y,Y,8.56,1.3,2.28,7.26,0.98,11.49,75.88,64.39,
17049,exposure,2,2,5,400,Ipswich,4.7,2.283,Ipswich,20170427,Y,20170605,71,4,20170605,15:04,15:12,15:16,0,Y,NA,Y,Y,Y,Y,13.29,1.3,3.19,11.99,1.89,11.45,114.13,102.68,
17054,exposure,4,3,12,2800,Rowley1-RR,3.435,2.719,Rowley,20170427,Y,20170605,64,4,20170605,16:10,16:21,16:25,0,Y,NA,Y,Y,Y,Y,11.73,1.3,2.61,10.43,1.31,11.6,121.12,109.52,
17066,exposure,6,3,18,2800,Rowley1-RR,5.322,2.794,Rowley,20170427,Y,20170605,70,4,20170605,16:15,16:30,16:35,0,Y,NA,Y,Y,Y,Y,14.58,1.27,2.82,13.31,1.55,11.46,105.02,93.56,
17098,exposure,4,1,10,2800,Rowley2-Sawyers,4.453,2.251,Rowley2,20170427,Y,20170605,63,4,20170605,13:21,13:29,13:33,0,N,NA,Y,Y,Y,Y,6.13,1.28,1.81,4.85,0.53,11.4,76.51,65.11,
17119,exposure,1,3,3,400,Ipswich,5.387,2.004,Ipswich,20170427,Y,20170605,57,4,20170605,15:08,15:19,15:24,0,Y,NA,Y,Y,Y,Y,11.24,1.3,2.35,9.94,1.05,11.4,83.37,71.97,
17131,exposure,6,2,17,2800,Ipswich,3.983,1.8,Ipswich,20170427,Y,20170605,69,4,20170605,13:09,13:14,13:19,0,N,NA,Y,Y,Y,Y,4.25,1.28,1.69,2.97,0.41,11.35,48.84,37.49,
17138,exposure,2,1,4,400,Rowley2-Sawyers,3.127,1.58,Rowley2,20170427,Y,20170605,58,4,20170605,11:43,12:09,12:13,0,N,NA,Y,Y,Y,Y,4.37,1.3,1.79,3.07,0.49,11.35,36.39,25.04,Returned to tank temporarily before shucking
17141,exposure,3,1,7,900,Rowley2-Sawyers,2.513,2.045,Rowley2,20170427,Y,20170605,60,4,20170605,14:27,14:37,14:41,0,N,NA,Y,Y,Y,Y,3.93,1.29,1.6,2.64,0.31,11.38,33.94,22.56,
17186,exposure,2,3,6,400,Rowley1-RR,3.781,2.148,Rowley,20170427,Y,20170605,59,4,20170605,11:31,11:59,12:05,0,Y,NA,Y,Y,Y,Y,8.06,1.3,2.41,6.76,1.11,11.5,77.07,65.57,Returned to tank temporarily before shucking
17189,exposure,1,2,2,400,Rowley1-RR,5.373,2.222,Rowley,20170427,Y,20170605,56,4,20170605,14:59,15:05,15:09,0,N,NA,Y,Y,Y,Y,13.44,1.29,3.07,12.15,1.78,11.58,115.89,104.31,
17196,exposure,5,1,13,900,Rowley2-Sawyers,3.941,2.612,Rowley2,20170501,Y,20170605,65,4,20170605,15:40,15:50,15:54,0,Y,NA,Y,Y,Y,Y,6.11,1.29,2.09,4.82,0.8,11.82,50,38.18,
